Hindi,English
हिन्दी-हिमाचली पहाड़ी भाषा का नाम सुनकर ही कुछ लोग विदक जाते हैं।,Some people get confused when they hear the name of the Hindi - Himachal hill language.
अगर इस मुद्दे पर दूसरे प्रदेशों के निवासियों को कोई तकलीफ हो तो भी समझ आती है ।,"If the residents of other regions have any problem with this issue, it is understandable."
किंतु अपने ही प्रदेश की भाषा के प्रति लोगों की के मन की संकीर्णता समझ नहीं आती ।,But the narrowness of the minds of the people towards the language of their own territory is not understood.
पता नहीं ऐसा कर के क्या हासिल होगा ।,I don 't know what that will do .
अगर हम अपनी माता (हिमाचली भाषा) के नहीं हो सकते तो विमाता के कहाँ होगे  ।,"If we cannot be our mother tongue, where will be the mother tongue?"
ऐसा तो है नहीं कि हिमाचली पहाड़ी का पुराना अस्तित्व या कोई इतिहास है ही नहीं और ये नई - नई बनाई गई है ।,It is not that the Himalayas have an old existence or no history and are newly created.
हिमाचली पहाड़ी भाषा के साथ यहां के स्थानीय लोगों का प्यार सदियों पुराना है।,The love of the local people for the Himalayan language is centuries old.
हालांकि  सन 920 ई से पहले का साहित्य लिखित रूप में नहीं मिलता।,"However, literature before 920 AD is not found in written form."
जो कुछ मिलता भी है वो लोकगीतों और भजनों के रूप में पीढ़ी दर पीढ़ी चलता आ रहा है ।,Everything that is found is passed down from generation to generation in the form of folk songs and hymns.
"शिलालेख/ राजाओं के लिखे पत्र /संधिपत्र, चर्पट नाथ लिखित चरपट मंजरी इसके बाद के शुुरुआती लिखित सबूत हैं।","The inscriptions/ letters written by kings/ confidential documents, the Charpat Nath written Charpat Manjri are the earliest written evidence of this."
"कहने का भाव ये है हिमाचल प्रदेश तो हाल ही में बना,",The idea is that Himachal Pradesh was created recently.
मगर हिमाचली भाषा तो पहले से बोली जा रही है।,But the Himachal language is already spoken.
लोग सदियों से ही इसके संग जी रहे हैं।,People have been living with it for centuries.
"पहाड़ी भाषा का इतिहास हिन्दी साहित्य के आदिकाल, जिसे सिद्ध चारण काल के नाम से भी जानते हैं, से जुड़ा है।","The history of the hill tongue is linked to the era of Hindi literature, also known as the Siddhartha Charana period."
"उस समय में मात्र सिद्ध महात्मा ही लिखते थे, वो भी लोक भाषा में ।",At that time only the Siddha Mahatma wrote in the folk language.
जिसमें या तो राजा रजबाड़ों की शान बघारता का इतिहास होता या फिर शावर मंत्रों का लेखन  ।,It contained either the history of the Shah 's fame and fortune or the writing of the Shawar Mantras.
कहा जाता है कि जब गुरू गोरक्षनाथ अपने साथियों सहित जब चम्बा आए थे,"It is said that when Guru Gorakhnath came to Chamba with his companions,"
तो चम्बा के गद्दी परिवार में जन्मे - पले और साधना में लीन चर्पट नाथ को अपना चेला बना लिया ।,So he made a disciple of Lin Charapath in Chamba 's Gaddi family and in Sadhana.
ये बात दसवीं शताब्दी के शुरूआती दौर (समय)की है,This is from the early 10th century.
आगे चल कर यही चर्पट नाथ चम्बा के राजा का गुरू भी बना और नौ प्रमुख नाथों के रूप में विख्यात हुआ,This Charapta also became the Guru of the King of Chamba and became known as the Nine Chief Naths.
शक्तिपीठ श्री ज्वाला देवी जी का मंदिर,Shaktipeeth Temple of Shri Jwala Devi
माता ज्वाला देवी का मंदिर भी देश के 51 शक्तिपीठों में से एक है,The temple of Mother Jwala Devi is also one of the 51 Shaktipeeths of the country
जो कि हिमाचल प्रदेश के कांगड़ा जिले में शिवालिक पहाड़ियों के मध्य कालीधार पहाड़ी के बीचों बीच बसा हुआ है ।,It is situated in the middle of the Kalidar hill in the midst of the Shivalik hills in Kangra district of Himachal Pradesh.
महंगाई की मार,inflation
अरे बहन गीता! कहाँ से आ रही हो ?,Hey sister Geeta! Where are you coming from?
मैं बाजार से आ रही हूँ शांति बहन।,"I'm coming from the market, Sister Peace."
अच्छा! और क्या भाव चल रहा है आज सब्जियों का ?,"Well, what about vegetables today?"
पूछो ही मत बहन।,"Don't ask me, sister."
ऐसा लग रहा है सोना खरीद कर ला रही हूँ।,It 's like buying gold.
अच्छा! कीमत बहुत बढ़ गयी क्या ?,"Well, has the price gone up?"
"हाँ और क्या, तुम नहीं जानती ?","Yeah, what else, you don't know?"
अरे बहन हमने पिछले हफ्ते ही सारी सब्जियाँ एक साथ खरीद ली थी।,"Hey sister, we bought all the vegetables together last week."
सही कहा। आज तो जैसे सब्जियों की कीमतें आसमान छू रही हैं।,"Right. Today, vegetable prices are skyrocketing."
अब प्याज को ही ले लो 80 रुपए किलो मिल रहे हैं।,Now take the onion and you get 80 rupees a kilogram.
प्याज तो भला सस्ता हो ही नहीं रहा।,Onions were not cheap.
सब्जियों की बढ़ती कीमत के चलते मैं तो कभी-कभी चटनी बनाती हूँ।,I sometimes make sauces because of the rising price of vegetables.
इतनी महंगाई में पता नहीं कैसे ही गुज़ारा होगा।,I don 't know how I could survive in such an inflation.
बोल तो तुम सही ही रही हो शांति बहन।,"You were right, Sister Peace."
बड़े तो समझते हैं पर बच्चों को समझाना मुश्किल है।,"Adults understand, but children find it difficult to explain."
इस महंगाई के चलते अब हर दिन नई-नई सब्जियां कहाँ से लाएं।,"With this inflation, where to buy new vegetables every day."
"बात तो एकदम सही कह रही हो गीता बहन, पर ऐसे हाल में अब हर रोज भी तो आलु नहीं खाए जाते न।","You are right, Geeta, but in this day and age, potatoes are not eaten every day."
"हाँ, मेरा तो आलु का नाम सुनते ही मन खराब होने लगता है।","Yes, my mind is always upset when I hear the name of potatoes."
"पता नहीं कब हालात ठीक होंगे,","I don't know when things will get better,"
कब इस मंहगाई की मार से पल्ला छूटेगा।,When will the Palla get out of this recession?
पर हम दोनों के सोचने से कब हालात सुधरने वाले हैं।,But we both think about when things are going to get better.
भगवान् ही जाने क्या होने वाला है।,God only knows what will happen.
"ठीक है तो, गीता बहन कल मिलेंगी फिर।","All right, then, see you again tomorrow, sister Geeta."
कल तुम भी अपनी गाय चराने लाना।,Tomorrow you bring your cow.
तब सुख-दुःख लगाएंगी।,Then it will bring joy and sorrow.
"हाँ जी, ठीक है तो।","Yes, yes, well."
कल मिलती हैं।,See you tomorrow.
मित्रों का वार्तालाप,The conversation between friends
हाँ जी! आप कैसे है?,How are you?
मैं ठीक हूँ।,I'm all right.
आजकल तो आप दिखाई ही नहीं देते।,Nowadays you don't see them.
आजकल मैं काम में बहुत व्यस्त हूँ।,These days I am very busy at work.
इतने दिन कहाँ थे आप?,Where have you been all these days?
कल ही आपको याद कर रहा था।,I was just missing you yesterday.
मैं शिमला गया हुआ था।,I was very upset.
हम सब मिलकर वहाँ जाएंगे।,We will all go there together.
परसों क्या है? परसों जो सकते हैं।,What is it?
किस समय ?,What time?
10 बजे क्या ?,What about 10 o'clock?
10 बजे मुझे और काम है।,I have more work to do at 10 o'clock.
तो 12 बजे जाएंगे।,So we'll be at 12:00.
ठीक जी।,"All right, all right."
आज बिलम्ब क्यों हुआ ?,Why is it late today?
प्रस्थान के समय मेरी गाड़ी खराब हो गई थी।,My car was damaged on the way out.
मैंने बड़ी देर तक प्रतीक्षा की।,I waited a long time.
क्षमा करें।,I'm sorry about that.
मेरा काम ही समाप्त नहीं हुआ था।,My work was not finished.
उस दिन आप क्यों नहीं आए थे।,Why didn't you come that day?
उस दिन तो मैं भूल ही गया था।,I had forgotten that day.
और सभी आए थे क्या ?,And everyone came?
हाँ आप को छोड़कर सभी आए थे।,"Yes, everyone except you came."
"मेरी भी बड़ी इच्छा थी, पर नहीं आ सका।","I too had a great desire, but I could not come."
"कल आपको कई बार फोन किया,","I called you several times yesterday,"
पर आपसे बात ही नहीं हो पाई।,But I couldn't talk to you.
"हाँ, कल हमारे गाँव में बिजली नहीं थी,","Yes, yesterday there was no electricity in our village,"
पूरे दिनभर बिजली नहीं आई।,There was no electricity all day.
अतः फोन की बैटरी भी खत्म हो गई थी।,So the phone 's battery was also out.
"ओह, मैंने सोचा पिछली बात को लेकर नाराज होकर बात नहीं करना चाहते हो।","Oh, I thought you didn't want to talk about the last thing upset."
"नहीं, नहीं। छोटी-छोटी बातों को लेकर भाईचारा नहीं छोड़ा करते।","No, no. They don't leave their brotherhood on the little things."
"अच्छा, बाकी तो ठीक है, पर यह बताओ हमारी परीक्षा कब तक हो सकती है।","Well, the rest is fine, but tell me how long our test can be."
मास्टर जी ने कहा था अगले महीने किसी भी दिन हो सकती है।,Master said it could happen any day of the month.
मुझे तो बहुत चिन्ता हो रही है।,I am very worried.
मैंने अभी तक पढ़ाई भी पूरी नहीं की है।,I have not even completed my studies yet.
"अरे मित्र, अपना भी वैसा ही हाल है।","Hey, my friend, you're in the same situation."
घर में आजकल धान की कटाई चली हुई है।,The house is currently harvesting rice.
पिता जी सुबह 5 बजे ही जगा कर खेत में ले जाते हैं।,My father wakes up at 5am and takes them to the farm.
पूरे दिनभर काम करते हैं और शाम 6 बजे बापिस आते हैं।,They work all day and come to the papis at 6 pm.
खाना खाने के बाद  दिनभर की थकावट के कारण नींद आ जाती है और फिर पढ़ने का समय ही नहीं मिलता।,"After eating, tiredness causes sleep and then no time to read."
पढ़ाई न करने पर स्कूल में मास्टर भी बहुत पीटते हैं।,Teachers in school are also beaten very hard when they do not study.
"हाँ, अग्रेजी वाला मास्टर तो हद ही कर देता है।","Yes, the English master is a master."
कक्षा में आता बाद में है और पीटने पहले ही शुरु हो जाता है।,He comes to class late and the beatings begin early.
लगता है रोज सुबह घर में पत्नी से झगड़ा कर के आता है।,He seems to come home every morning to argue with his wife.
पत्नी का गुस्सा भी हमारे ऊपर ही निकालता है।,The wife 's anger is also directed at us.
"मैंने तो कई बार सोचा भी कि इसकी शिकायत करूं पर क्या करें,",I have often wondered what to do about complaining about it.
"गरीब और अच्छे बच्चों की सहायता भी करता है,","It also helps poor and good children,"
यह सोच कर ही चुप बैठा हूँ।,I sat silent thinking about it.
"हाँ दोस्त, गलती तो हमारी भी है।","Yes, my friend, it's our fault too."
हम न तो स्कूल में ध्यान से पढ़ते हैं और न ही घर में आकर किताब खोलते हैं।,We do not read carefully at school or come home and open books.
अब उस बेचारे के पास तो कोई बूटी है नहीं कि उसे खिलाए और हमें सब कुछ याद रह जाए।,Now that we have no plants to feed him and we remember everything.
हमें घर में भी पढ़ने के लिए समय निकालना होगा।,We must also take time to read at home.
