,English,Target Kangri,Generated Kangri
0,"We will not lose our way, we will not lose our way.",ताले वालै सेश जाचा वे नेहिये घोरा नी फेरिया आणदे कोई,असां दा रस्ता नीं हटी जाणा
1,Love 's kidney was stunned.,सरीक गलांदे जे भगतुए दा टब्बर तां प्रेमुए दे टब्बरे दी कमाइया उप्पर ई मौजां मारा करदा ऐ।,प्यार दा किडनी डूबी गया।
2,"We are the children of the gods, we will not forget this honor.",बुझिया आसा बे माड़े नमाड़े टोपी नीं शिरा न टीकणे धोनी,असां देयां दे बच्चे हन असां एह सम्मान नी भुल्लांगे
3,"The lion said to the princess, 'Come sit on my back.'",रही गए शेर कन्ने राजकुमारी,"शेरे राजकुमारिया जो गलाया, 'जा मेरे पिच्छे बैठ।'"
4,Grandma said that at one time someone came to Jugnu 's house asking for fire from the stove.,दादी बोल्ली कुसी बेल्लैं जुगनुए दे घरे चुल्ही दिया अग्गी मंगणा कोई आया।,नानी गलांदी कि इक्क बारी कुसी जुगनू दे कर पुज्जी करी भट्ठी ते अग्गी मंगदी आई
5,"He saw that it was not a cow cat, but another animal.",बिल्लियां जाहलू एह दिखया तां सैह बड़ी दुःखी होई,"तिन्नी दिक्खेया कि एह गाईया दी बिल्ली नी है, पर इक्क होर पशु है"
6,219 His mind was troubled at this thought and at that moment the girl turned around and looked.,219.  दिह्या सोच्ची के तिसदा मन सोचणा लग्गा कने ताह्लू ही तिन्नां कुड़िया मुड़ी के दिक्खेया।,219. इसा सोच्या पर तिसा दा मन परेशान होई गिया। ताह्लू ही तिन्नी मुंड्डू पिच्छे होई के दिक्खेया।
7,Where the cold winds blow,जित्थु ठन्डियां हवाआं बैहन्दियाँ हन,जिथू ठंडी हवाएं फड़ी जान्दी
8,Whoever found out was the one who cried.,जिस जो पता लग्गा सैही रोन्दा-करलान्दा,जे पता लग्गा सैह रोणा लग्गा
9,A group of people walked from the surrounding villages to Amritsar.,"कम्में दिया तलासा च लोक ग्रायें ते अमृतसर ,लाहोर ,कराची मुलतान देयां सहरां दा मुँह करदे थे।",{844} इक्क गुट लोक आस-पास दे ग्रांएं ते पैदल चलदे-चलदे अमृतसर पुज्जे।
10,Both of them were surprised to see the guest.,तित्तणे च तिन्हां दे घर इक्क परौह्णा आई पुज्जा।,परोहते जो दिक्खी करी दुन्नीं हैरान होई गे।
11,Siddhartha - Garima has co - written the film.,सुंदर 54 लक्ख रुपेइये दे बिले ते किय्यां छुटकारा पांदा; एही फिल्मा दा सार है।,सिद्धार्थ-गरीमा ने इस फ़िल्म दी सह-लख्ताई है।
12,Your love is a blessing,तेरा प्यार प्रशाद माँ पांदे,तुहाड़ी प्यारी है आसिशान
