,English,Target Kinnauri,Generated Kinnauri
0,"Local leaders were attended by MLA Vandana Kumari Ji, former Corporation Councillor and future candidate BJP Rika Gupta Ji.","स्थानीय नेता होर मांज़ काह विधायक वंदना कुमारी जी, पूर्व निगम पार्षद आई भावी प्रत्याशी भाजपा रेखा गुप्ता जी होतिन्छ़े थियेह।","स्थानीय नेता होर मांज़ एंबुलेदार वंदना कुमारी जी, पोएले कर्पोरेशन कौंसिलर आई भविष्य रै बीजेपी रोह मांनुश रिका गुप्ता जी बिह शामिल थियेह।"
1,I thought you were asleep.,मुला लागबै लागान थेओ किह तुँबै सुतैंदै सौह।,मैईंयै ज़ानो किह तुँबै सुतान सौ।
2,I wonder what my ex is doing.,सुह परेशान सुह किह मेरोह  पूर्व किह खोटेन हुगोह।,हाऊँ सुनच़ियान सु मैरौ पैलै कयौ कौरानस।
3,Their dialogue was very ineffective.,हौतयँरोह बोलना वाल औसौरदार नेथे।,तेनोर रोह बाते मुलुक काम नोखोटिह देह।
4,The king accepted her request and reiterated that anyone who was lame or lame should attend every vigil.,"राज़ाऐ आफरोह छ़ेल्डी रोह बाते शुनिह देह, दुबारा ऐलान टानोस, किह ज़ुन बिह खोराह-कानोह यांह ताकला साह, सऐब लाऐ स्वयंवर केह आछ़नो स्या कोन।",राज़ाऐ तेसाई बातै मौन्याई आ फिरिंदै हौसौ राज़ाऐ ज़ैनौ बिह लंगौस या लंगौस हौसौ सेब व्रौत कै आछ़ना ज़ुरुर ज़ोरियै बोलोस।
5,I admitted it.,मेईये मोनाई थियोह,मेईंयेह ईज़ लाह गोनयाई।
6,This is my cat.,हौयौ मैरि बिलारिस।,हौयौ मैरी पिशीस।
7,There is a small stone hut.,होतिन्छ़े एकह ज़ाना होर रोह लोडोह ज़ेओ चबूतरा साह।,तिन्छ़े एकह लोडोह ज़ानलोह ज़ानलोह ज़ागास।
8,"Then he knelt down and threw a jug in it, and looked at its face again and again.",गुटिंदै तियूँलै खाकू बि बेज़ी दिनी आ तियूँरौ मैह लै गौरी गौरी शाओ,तेह तेसे गुड्डुई देह तिज़ केह एकह ज़ुटबोरी बेज़िह देह तिज़ रोह मुहं लाह शांऐन थियोह।
9,It is very important.,मुलुक खास साह।,होई मुलुक ज़ुरुरीस।
10,Your good man I like my quiet life in my home country,तुँबा एक भौलौ मानुष हाऊ देश कै आपनौ घौरै आपनि शाँत ज़िदगी लै भाँदौ सु।,तेरोह ओबोल मांनुष मालाह मेरोह गोरे रोह देश केह मेरोह शांत ज़िन्दगी पोसोन्द साह।
11,Our duty is to do,कोरोम खोटनो तामोर रौह,आमोर रोह फोरज़ साह
12,But the sleep of the unashamed had made Narayan Dutt sleep in his lap.,तेबिह नारायण लाह चित निज़ रोह कोरच़ाते सोह सुतिह थाकिह।,पर बेशर्मौंदौ सुतौंदौ नारायण दत्त लै आपनौ गोरे कै सुतौंदौ थेयो।
13,The water is fresh.,धोईदेह ऊजिहदोह साह तरोह ताजा,पानिह ताजा साह
14,There will be a heavy battle with King Bazarkop.,राजा बजरकोप सेह भारी संग्राम फिरदोह स्यास।,राजा बजरकोप सिह मुलुक लोराई फिरेस।
15,It is your duty to protect your children.,आफरोह होसो छ़ेल्डु पेर रोह हिफाज़ोत टानोह तेरोह फोरज़ साह।,छ़ोटू पेर रोह हिफाज़ात टाननो तुमोर रोह फोरज़स।
16,What is your age?,तेरोह ऊम्बुर कियास?,तेरोह ऊम्बुर केतिग साह?
17,"Then he laughed,",तेह वाल हाटाटाई देह हासदोह साह,तेह तिनिये हांसेन पाह
18,"Sing or not, I will sing","हौसौ गेत लाएस या नाला,हाऊँ ता गेत लासु","गेत किह नुआ, हांऊ गेत लासुहं।"
19,"No, I'm dead.",नुवाँ हाऊँ मुवौंदौसु।,"नुवाँ,हाऊँ मौरौंदौ सु।"
20,The earthly body of Balkrishna was wrapped in a triangular flag,बालकृष्ण रोह मोरदोह लाह तिरंगे झंडाऐ बाटलाई थियोह।,बालकृष्ण रोह दोरती रोह डेह लाह त्रिकोणीय झंडा केह लपेटोस।
